Module Path,Module Name,Layer,Functional Area,Workstream,LOC Total,LOC Code,LOC Comments,Classes,Functions,Internal Dependencies,Total Imports,Has Tests,Test Path,Purpose,Status,Overlap Flags,Recommendations
src/automation/agents/__init__.py,__init__,Other,Agent System,Workstream E,14,11,0,0,0,0,4,No,N/A,Agent execution strategies for the automation pipeline.,Complete,,
src/automation/agents/background_agent_strategy.py,background_agent_strategy,Other,Agent System,Workstream E,298,229,19,1,6,1,6,No,N/A,Background agent execution strategy for post-response analysis.,Complete,,
src/automation/agents/fallback_trigger_strategy.py,fallback_trigger_strategy,Other,Agent System,Workstream E,289,219,15,1,7,0,5,No,N/A,Fallback trigger system strategy for legacy compatibility.,Complete,,
src/automation/agents/immediate_agent_strategy.py,immediate_agent_strategy,Other,Agent System,Workstream E,376,297,16,1,8,1,6,No,N/A,Immediate agent execution strategy for pre-response context gathering.,Complete,,
src/automation/agents/registry.py,registry,Other,Agent System,Workstream E,199,146,10,1,6,0,7,No,N/A,Agent registry for loading and configuring agent strategies.,Complete,,
src/automation/services/agent_catalog.py,agent_catalog,Other,Agent System,Workstream E,211,153,8,2,11,0,3,No,N/A,Central catalog for agent discovery and metadata management.,Complete,,
src/automation/services/agent_coordinator.py,agent_coordinator,Other,Agent System,Workstream E,386,313,12,1,9,1,11,No,N/A,Agent coordination facade orchestrating the agent system pipeline.,Complete,,
src/automation/services/agent_executor.py,agent_executor,Other,Agent System,Workstream E,470,372,27,1,11,3,10,No,N/A,Agent execution coordinator with thread pool management and retry logic.,Complete,,
src/automation/services/agent_factory.py,agent_factory,Other,Agent System,Workstream E,247,177,18,2,7,0,6,No,N/A,Agent instantiation factory using registry metadata.,Complete,,
src/automation/services/agent_formatter.py,agent_formatter,Other,Agent System,Workstream E,275,209,11,4,11,0,6,No,N/A,Agent result formatting with pluggable strategies.,Complete,,
src/automation/services/agent_runner.py,agent_runner,Other,Agent System,Workstream E,111,81,4,2,4,0,5,No,N/A,Automation agent execution entry point.,Complete,,
src/automation/orchestrator/__init__.py,__init__,Other,Automation Orchestration,Workstream D,6,3,0,0,0,0,1,No,N/A,Automation orchestrator entry points.,Complete,,
src/automation/orchestrator/orchestrator_v2.py,orchestrator_v2,Other,Automation Orchestration,Workstream D,19,11,0,1,2,0,3,No,N/A,Thin façade around the automation service.,Complete,,
src/automation/services/automation_service.py,automation_service,Other,Automation Orchestration,Workstream D,176,127,6,6,14,1,8,No,N/A,High-level orchestration service for automation workflows.,Complete,,
src/automation/services/prompt_builder.py,prompt_builder,Other,Automation Orchestration,Workstream D,112,81,7,1,3,0,6,No,N/A,Prompt building utilities for automation pipelines.,Complete,,
src/automation/services/prompt_sections.py,prompt_sections,Other,Automation Orchestration,Workstream D,281,199,10,8,9,0,3,No,N/A,Prompt section builders for composing agent prompts.,Complete,,
src/presentation/bridge/__init__.py,__init__,Other,Bridge Service,Workstream M,6,3,0,0,0,0,1,No,N/A,Bridge module - connects TUI to automation system.,Complete,,
